Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Glenn Anderson,L,R,1960-10-02,Vancouver,BC,CAN,CAN,73,190,1979,4,69,19801981,Y,"1,129",498,601,"1,099"
George Armstrong,R,R,1930-07-06,Skead,ON,CAN,CAN,73,184,--,--,--,19491950,Y,59,7,18,25
Dave Andreychuk,R,L,1963-09-29,Hamilton,ON,CAN,CAN,76,225,1982,1,16,19821983,Y,"1,639",640,698,"1,338"
Andy Bathgate,R,R,1932-08-28,Winnipeg,MB,CAN,CAN,72,180,--,--,--,19521953,Y,76,15,29,44
Johnny Bucyk,L,L,1935-05-12,Edmonton,AB,CAN,CAN,72,215,--,--,--,19551956,Y,567,244,348,592
Bill Barber,L,L,1952-07-11,Callander,ON,CAN,CAN,72,195,1972,1,7,19721973,Y,903,420,463,883
Jean Beliveau,L,C,1931-08-31,Trois-Rivières,QC,CAN,CAN,75,205,--,--,--,19501951,Y,70,25,51,76
Rob Blake,R,D,1969-12-10,Simcoe,ON,CAN,CAN,76,220,1988,4,70,19891990,Y,"1,270",240,537,777
Mike Bossy,R,R,1957-01-22,Montréal,QC,CAN,CAN,72,186,1977,1,15,19771978,Y,752,573,553,"1,126"
Ray Bourque,L,D,1960-12-28,Montréal,QC,CAN,CAN,72,223,1979,1,8,19791980,Y,"1,612",410,"1,169","1,579"
Alex Delvecchio,L,C,1931-12-04,Fort William,ON,CAN,CAN,72,195,--,--,--,19501951,Y,240,60,136,196
Dick Duff,L,L,1936-02-18,Kirkland Lake,ON,CAN,CAN,69,166,--,--,--,19541955,Y,68,10,15,25
Guy Carbonneau,R,C,1960-03-18,Sept-Iles,QC,CAN,CAN,71,186,1979,3,44,19801981,Y,"1,318",260,403,663
Chris Chelios,R,D,1962-01-25,Chicago,IL,USA,USA,72,191,1981,2,40,19831984,Y,"1,651",185,763,948
Dino Ciccarelli,R,R,1960-02-08,Sarnia,ON,CAN,CAN,70,185,--,--,--,19801981,Y,"1,232",608,592,"1,200"
Bobby Clarke,L,C,1949-08-13,Flin Flon,MB,CAN,CAN,70,185,1969,2,17,19691970,Y,"1,068",343,821,"1,164"
Paul Coffey,L,D,1961-06-01,Weston,ON,CAN,CAN,72,205,1980,1,6,19801981,Y,"1,409",396,"1,135","1,531"
Yvan Cournoyer,L,R,1943-11-22,Drummondville,QC,CAN,CAN,67,178,--,--,--,19631964,Y,562,276,287,563
Marcel Dionne,R,C,1951-08-03,Drummondville,QC,CAN,CAN,69,190,1971,1,2,19711972,Y,"1,348",731,"1,040","1,771"
Phil Esposito,L,C,1942-02-20,Sault Ste. Marie,ON,CAN,CAN,73,205,--,--,--,19631964,Y,823,516,591,"1,107"
Sergei Fedorov,L,C,1969-12-13,Pskov,--,RUS,RUS,74,207,1989,4,74,19901991,Y,"1,248",483,696,"1,179"
Viacheslav Fetisov,L,D,1958-04-20,Moscow,--,RUS,RUS,73,215,1983,8,145,19891990,Y,546,36,192,228
Bernie Federko,L,C,1956-05-12,Foam Lake,SK,CAN,CAN,72,178,1976,1,7,19761977,Y,"1,000",369,761,"1,130"
Tim Horton,R,D,1930-01-12,Cochrane,ON,CAN,CAN,70,180,--,--,--,19491950,Y,246,5,49,54
Harry Howell,L,D,1932-12-28,Hamilton,ON,CAN,CAN,73,195,--,--,--,19521953,Y,196,8,45,53
Ron Francis,L,C,1963-03-01,Sault Ste. Marie,ON,CAN,CAN,75,200,1981,1,4,19811982,Y,"1,731",549,"1,249","1,798"
Bob Gainey,L,L,1953-12-13,Peterborough,ON,CAN,CAN,74,200,1973,1,8,19731974,Y,"1,160",239,262,501
Mike Gartner,R,R,1959-10-29,Ottawa,ON,CAN,CAN,72,190,1979,1,4,19791980,Y,"1,432",708,627,"1,335"
Rod Gilbert,R,R,1941-07-01,Montréal,QC,CAN,CAN,69,180,--,--,--,19601961,Y,544,235,351,586
Clark Gillies,L,L,1954-04-07,Moose Jaw,SK,CAN,CAN,75,215,1974,1,4,19741975,Y,958,319,378,697
Doug Gilmour,L,C,1963-06-25,Kingston,ON,CAN,CAN,71,177,1982,7,134,19831984,Y,"1,474",450,964,"1,414"
Michel Goulet,L,L,1960-04-21,Péribonka,QC,CAN,CAN,73,195,1979,1,20,19791980,Y,"1,089",548,605,"1,153"
Jacques Laperriere,L,D,1941-11-22,Rouyn,QC,CAN,CAN,74,180,--,--,--,19621963,Y,222,12,67,79
Wayne Gretzky,L,C,1961-01-26,Brantford,ON,CAN,CAN,72,185,--,--,--,19791980,Y,"1,487",894,"1,963","2,857"
Dale Hawerchuk,L,C,1963-04-04,Toronto,ON,CAN,CAN,71,196,1981,1,1,19811982,Y,"1,188",518,891,"1,409"
Phil Housley,L,D,1964-03-09,St. Paul,MN,USA,USA,70,185,1982,1,6,19821983,Y,"1,495",338,894,"1,232"
Gordie Howe,R,R,1928-03-31,Floral,SK,CAN,CAN,72,205,--,--,--,19461947,Y,143,38,55,93
Mark Howe,L,D,1955-05-28,Detroit,MI,USA,USA,71,185,1974,2,25,19791980,Y,929,197,545,742
Brett Hull,R,R,1964-08-09,Belleville,ON,CAN,USA,71,205,1984,6,117,19861987,Y,"1,269",741,650,"1,391"
Bobby Hull,L,L,1939-01-03,Point Anne,ON,CAN,CAN,70,195,--,--,--,19571958,Y,183,100,106,206
Bob Pulford,L,L,1936-03-31,Newton Robinson,ON,CAN,CAN,71,188,--,--,--,19561957,Y,132,30,50,80
Henri Richard,R,C,1936-02-29,Montréal,QC,CAN,CAN,67,160,--,--,--,19551956,Y,315,54,150,204
Dave Keon,L,C,1940-03-22,Noranda,QC,CAN,CAN,69,165,--,--,--,19601961,Y,610,165,272,437
Jari Kurri,R,R,1960-05-18,Helsinki,--,FIN,FIN,73,195,1980,4,69,19801981,Y,"1,251",601,797,"1,398"
Guy Lafleur,R,R,1951-09-20,Thurso,QC,CAN,CAN,72,185,1971,1,1,19711972,Y,"1,126",560,793,"1,353"
Pat LaFontaine,R,C,1965-02-22,St. Louis,MO,USA,USA,70,182,1983,1,3,19831984,Y,865,468,545,"1,013"
Rod Langway,L,D,1957-05-03,Maaq,--,TWN,USA,75,218,1977,2,36,19781979,Y,994,51,278,329
Igor Larionov,L,C,1960-12-03,Voskresensk,--,RUS,RUS,71,170,1985,11,214,19891990,Y,921,169,475,644
Guy Lapointe,L,D,1948-03-18,Montréal,QC,CAN,CAN,72,205,--,--,--,19681969,Y,878,171,451,622
Jacques Lemaire,L,C,1945-09-07,LaSalle,QC,CAN,CAN,70,176,--,--,--,19671968,Y,640,283,387,670
Brian Leetch,L,D,1968-03-03,Corpus Christi,TX,USA,USA,72,190,1986,1,9,19871988,Y,"1,205",247,781,"1,028"
Mario Lemieux,R,C,1965-10-05,Montréal,QC,CAN,CAN,76,230,1984,1,1,19841985,Y,915,690,"1,033","1,723"
Kevin Lowe,L,D,1959-04-15,Lachute,QC,CAN,CAN,74,200,1979,1,21,19791980,Y,"1,254",84,347,431
Al MacInnis,R,D,1963-07-11,Inverness,NS,CAN,CAN,73,204,1981,1,15,19811982,Y,"1,416",340,934,"1,274"
Frank Mahovlich,L,L,1938-01-10,Timmins,ON,CAN,CAN,72,205,--,--,--,19561957,Y,298,143,199,342
Sergei Makarov,L,R,1958-06-19,Chelyabinsk,--,RUS,RUS,71,195,1983,12,231,19891990,Y,424,134,250,384
Norm Ullman,L,C,1935-12-26,Provost,AB,CAN,CAN,70,175,--,--,--,19551956,Y,373,108,209,317
Lanny McDonald,R,R,1953-02-16,Hanna,AB,CAN,CAN,72,185,1973,1,4,19731974,Y,"1,111",500,506,"1,006"
Mark Messier,L,C,1961-01-18,Edmonton,AB,CAN,CAN,74,211,1979,3,48,19791980,Y,"1,756",694,"1,193","1,887"
Stan Mikita,R,C,1940-05-20,Sokolce,--,SVK,SVK,69,169,--,--,--,19581959,Y,623,217,396,613
Mike Modano,L,C,1970-06-07,Livonia,MI,USA,USA,75,212,1988,1,1,19891990,Y,"1,499",561,813,"1,374"
Joe Mullen,R,R,1957-02-26,New York City,NY,USA,USA,69,180,--,--,--,19811982,Y,"1,062",502,561,"1,063"
Larry Murphy,R,D,1961-03-08,Scarborough,ON,CAN,CAN,73,215,1980,1,4,19801981,Y,"1,615",288,929,"1,217"
Vaclav Nedomansky,L,C,1944-03-14,Hodonin,--,CZE,CZE,74,205,--,--,--,19771978,Y,421,122,156,278
Cam Neely,R,R,1965-06-06,Comox,BC,CAN,CAN,73,218,1983,1,9,19831984,Y,726,395,299,694
Joe Nieuwendyk,L,C,1966-09-10,Oshawa,ON,CAN,CAN,74,209,1985,2,27,19861987,Y,"1,257",564,562,"1,126"
Adam Oates,R,C,1962-08-27,Weston,ON,CAN,CAN,71,190,--,--,--,19851986,Y,"1,337",341,"1,079","1,420"
Bobby Orr,L,D,1948-03-20,Parry Sound,ON,CAN,CAN,72,198,--,--,--,19661967,Y,407,192,467,659
Brad Park,L,D,1948-07-06,Toronto,ON,CAN,CAN,72,200,1966,1,2,19681969,Y,999,199,634,833
Gilbert Perreault,L,C,1950-11-13,Victoriaville,QC,CAN,CAN,73,180,1970,1,1,19701971,Y,"1,191",512,814,"1,326"
Denis Potvin,L,D,1953-10-29,Ottawa,ON,CAN,CAN,72,205,1973,1,1,19731974,Y,"1,060",310,742,"1,052"
Jean Ratelle,L,C,1940-10-03,Lac St. Jean,QC,CAN,CAN,73,175,--,--,--,19601961,Y,798,337,561,898
Mark Recchi,L,R,1968-02-01,Kamloops,BC,CAN,CAN,70,195,1988,4,67,19881989,Y,"1,652",577,956,"1,533"
Larry Robinson,L,D,1951-06-02,Winchester,ON,CAN,CAN,76,225,1971,2,20,19721973,Y,"1,384",208,750,958
Luc Robitaille,L,L,1966-02-17,Montréal,QC,CAN,CAN,73,215,1984,9,171,19861987,Y,"1,431",668,726,"1,394"
Joe Sakic,L,C,1969-07-07,Burnaby,BC,CAN,CAN,71,195,1987,1,15,19881989,Y,"1,378",625,"1,016","1,641"
Borje Salming,L,D,1951-04-17,Kiruna,--,SWE,SWE,73,193,--,--,--,19731974,Y,"1,148",150,637,787
Denis Savard,R,C,1961-02-04,Pointe Gatineau,QC,CAN,CAN,70,175,1980,1,3,19801981,Y,"1,196",473,865,"1,338"
Serge Savard,L,D,1946-01-22,Montréal,QC,CAN,CAN,75,210,--,--,--,19661967,Y,833,84,278,362
Brendan Shanahan,R,L,1969-01-23,Mimico,ON,CAN,CAN,75,220,1987,1,2,19871988,Y,"1,524",656,698,"1,354"
Steve Shutt,L,L,1952-07-01,Toronto,ON,CAN,CAN,70,180,1972,1,4,19721973,Y,930,424,393,817
Darryl Sittler,L,C,1950-09-18,Kitchener,ON,CAN,CAN,72,190,1970,1,8,19701971,Y,"1,096",484,637,"1,121"
Peter Stastny,L,C,1956-09-18,Bratislava,--,SVK,SVK,73,200,--,--,--,19801981,Y,977,450,789,"1,239"
Scott Stevens,L,D,1964-04-01,Kitchener,ON,CAN,CAN,74,215,1982,1,5,19821983,Y,"1,635",196,712,908
Mats Sundin,R,C,1971-02-13,Bromma,--,SWE,SWE,77,231,1989,1,1,19901991,Y,"1,346",564,785,"1,349"
Bryan Trottier,L,C,1956-07-17,Val Marie,SK,CAN,CAN,71,195,1974,2,22,19751976,Y,"1,279",524,901,"1,425"
Doug Wilson,L,D,1957-07-05,Ottawa,ON,CAN,CAN,73,187,1977,1,6,19771978,Y,"1,024",237,590,827
Steve Yzerman,R,C,1965-05-09,Cranbrook,BC,CAN,CAN,70,187,1983,1,4,19831984,Y,"1,514",692,"1,063","1,755"
Pavel Bure,L,R,1971-03-31,Moscow,--,RUS,RUS,71,191,1989,6,113,19911992,Y,702,437,342,779
Nicklas Lidstrom,L,D,1970-04-28,Vasteras,--,SWE,SWE,73,192,1989,3,53,19911992,Y,"1,564",264,878,"1,142"
Teemu Selanne,R,R,1970-07-03,Helsinki,--,FIN,FIN,72,209,1988,1,10,19921993,Y,"1,451",684,773,"1,457"
Sergei Zubov,R,D,1970-07-22,Moscow,--,RUS,RUS,73,198,1990,5,85,19921993,Y,"1,068",152,619,771
Eric Lindros,R,C,1973-02-28,London,ON,CAN,CAN,76,240,1991,1,1,19921993,Y,760,372,493,865
Scott Niedermayer,L,D,1973-08-31,Edmonton,AB,CAN,CAN,73,194,1991,1,3,19911992,Y,"1,263",172,568,740
Peter Forsberg,L,C,1973-07-20,Ornskoldsvik,--,SWE,SWE,72,205,1991,1,6,19941995,Y,708,249,636,885
Chris Pronger,L,D,1974-10-10,Dryden,ON,CAN,CAN,78,220,1993,1,2,19931994,Y,"1,167",157,541,698
Paul Kariya,L,L,1974-10-16,Vancouver,BC,CAN,CAN,70,185,1993,1,4,19941995,Y,989,402,587,989
Daniel Alfredsson,R,R,1972-12-11,Gothenburg,--,SWE,SWE,71,203,1994,6,133,19951996,Y,"1,246",444,713,"1,157"
Jarome Iginla,R,R,1977-07-01,Edmonton,AB,CAN,CAN,73,210,1995,1,11,19961997,Y,"1,554",625,675,"1,300"
Marian Hossa,L,R,1979-01-12,Stará Lubovna,--,SVK,SVK,73,207,1997,1,12,19971998,Y,"1,309",525,609,"1,134"
Martin St. Louis,L,R,1975-06-18,Laval,QC,CAN,CAN,68,180,--,--,--,19981999,Y,"1,134",391,642,"1,033"
Daniel Sedin,L,L,1980-09-26,Ornskoldsvik,--,SWE,SWE,73,190,1999,1,2,20002001,Y,"1,306",393,648,"1,041"
Henrik Sedin,L,C,1980-09-26,Ornskoldsvik,--,SWE,SWE,74,183,1999,1,3,20002001,Y,"1,330",240,830,"1,070"
Chris Ahrens,R,D,1952-07-31,San Bernardino,CA,USA,USA,72,185,1972,5,76,19731974,N,52,0,3,3
Claire Alexander,R,D,1945-06-16,Collingwood,ON,CAN,CAN,73,175,--,--,--,19741975,N,155,18,47,65
Jeff Allan,L,D,1957-05-17,Hull,QC,CAN,CAN,73,194,1977,6,95,19771978,N,4,0,0,0
Earl Anderson,R,R,1951-02-24,Roseau,MN,USA,USA,73,185,1971,5,58,19741975,N,109,19,19,38
Dennis Abgrall,R,R,1953-04-24,Tisdale,SK,CAN,CAN,73,180,1973,5,70,19751976,N,13,0,2,2
Thommy Abrahamsson,L,D,1947-04-12,Umea,--,SWE,SWE,74,185,--,--,--,19801981,N,32,6,11,17
Jim Agnew,L,D,1966-03-21,Deloraine,MB,CAN,CAN,73,190,1984,8,157,19861987,N,81,0,1,1
Greg Adams,L,L,1963-08-15,Nelson,BC,CAN,CAN,76,196,--,--,--,19841985,N,"1,056",355,388,743
Russ Adam,L,C,1961-05-05,Windsor,ON,CAN,CAN,70,185,1980,7,137,19821983,N,8,1,2,3
Keith Acton,L,C,1958-04-15,Stouffville,ON,CAN,CAN,68,170,1978,6,103,19791980,N,"1,023",226,358,584
Greg Adams,L,L,1960-05-31,Victoria,BC,CAN,CAN,72,200,--,--,--,19801981,N,544,84,143,227
Rick Adduono,L,C,1955-01-25,Thunder Bay,ON,CAN,CAN,71,182,1975,4,60,19751976,N,4,0,0,0
Bruce Affleck,L,D,1954-05-05,Salmon Arm,BC,CAN,CAN,72,190,1974,2,21,19741975,N,280,14,66,80
Fred Ahern,R,R,1952-02-12,Boston,MA,USA,USA,72,180,--,--,--,19741975,N,146,31,30,61
Steve Alley,L,L,1953-12-29,Anoka,MN,USA,USA,72,185,1973,9,141,19791980,N,15,3,3,6
Ray Allison,R,R,1959-03-04,Cranbrook,BC,CAN,CAN,70,195,1979,1,18,19791980,N,238,64,93,157
Mike Allison,R,R,1961-03-28,Fort Frances,ON,CAN,CAN,72,200,1980,2,35,19801981,N,499,102,166,268
Dave Allison,R,D,1959-04-14,Fort Frances,ON,CAN,CAN,73,200,--,--,--,19831984,N,3,0,0,0
Brad Aitken,L,L,1967-10-30,Scarborough,ON,CAN,CAN,74,200,1986,3,46,19871988,N,14,1,3,4
Tommy Albelin,L,D,1964-05-21,Stockholm,--,SWE,SWE,74,195,1983,8,152,19871988,N,952,44,211,255
Mike Amodeo,L,D,1952-06-22,Toronto,ON,CAN,CAN,70,190,1972,7,102,19791980,N,19,0,0,0
Murray Anderson,L,D,1949-08-28,The Pas,MB,CAN,CAN,70,175,1969,4,44,19741975,N,40,0,1,1
Ron Anderson,R,R,1945-07-29,Red Deer,AB,CAN,CAN,72,170,--,--,--,19671968,N,111,14,16,30
Ron Anderson,R,R,1950-01-21,Moncton,NB,CAN,CAN,70,165,--,--,--,19741975,N,28,9,7,16
Paul Andrea,L,R,1941-07-31,North Sydney,NS,CAN,CAN,70,174,--,--,--,19651966,N,56,12,21,33
Kent-Erik Andersson,R,R,1951-05-24,Orebro,--,SWE,SWE,74,185,--,--,--,19771978,N,456,72,103,175
John Anderson,L,R,1957-03-28,Toronto,ON,CAN,CAN,71,200,1977,1,11,19771978,N,814,282,349,631
Perry Anderson,L,L,1961-10-14,Barrie,ON,CAN,CAN,73,225,1980,6,117,19811982,N,400,50,59,109
Lou Angotti,R,C,1938-01-16,Toronto,ON,CAN,CAN,69,170,--,--,--,19641965,N,258,41,71,112
Al Arbour,L,D,1932-11-01,Sudbury,ON,CAN,CAN,72,180,--,--,--,19531954,N,22,0,2,2
Shawn Anderson,L,D,1968-02-07,Montréal,QC,CAN,CAN,73,200,1986,1,5,19861987,N,255,11,51,62
Russ Anderson,L,D,1955-02-12,Minneapolis,MN,USA,USA,75,210,1975,2,31,19761977,N,519,22,99,121
Peter Andersson,R,D,1962-03-02,Federtalve,--,SWE,SWE,74,200,1980,9,173,19831984,N,172,10,41,51
Mikael Andersson,L,R,1966-05-10,Malmö,--,SWE,SWE,71,181,1984,1,18,19851986,N,761,95,169,264
John Arbour,L,D,1945-09-28,Niagara Falls,ON,CAN,CAN,71,195,--,--,--,19651966,N,83,1,6,7
Michel Archambault,L,L,1950-09-27,St-Hyacinthe,QC,CAN,CAN,68,160,1970,2,28,19761977,N,3,0,0,0
Barry Ashbee,R,D,1939-07-28,Weston,ON,CAN,CAN,70,180,--,--,--,19651966,N,270,15,67,82
Steve Atkinson,R,R,1948-10-16,Toronto,ON,CAN,CAN,71,170,1966,1,6,19681969,N,301,60,51,111
Don Awrey,L,D,1943-07-18,Kitchener,ON,CAN,CAN,72,175,--,--,--,19631964,N,622,17,117,134
Mitch Babin,L,C,1954-11-01,Kapuskasing,ON,CAN,CAN,74,195,1974,11,180,19751976,N,8,0,0,0
Ralph Backstrom,L,C,1937-09-18,Kirkland Lake,ON,CAN,CAN,70,165,--,--,--,19561957,N,204,64,78,142
Garnet Bailey,L,L,1948-06-13,Lloydminster,SK,CAN,CAN,71,192,1966,3,13,19681969,N,502,93,157,250
Ron Andruff,R,C,1953-07-10,Port Alberni,BC,CAN,CAN,72,185,1973,2,32,19741975,N,153,19,36,55
Ken Baird,L,D,1951-02-01,Flin Flon,MB,CAN,CAN,72,190,1971,2,15,19711972,N,10,0,2,2
Terry Ball,R,D,1944-11-29,Selkirk,MB,CAN,CAN,69,160,--,--,--,19671968,N,12,0,1,1
Dave Balon,L,L,1938-08-02,Wakaw,SK,CAN,CAN,70,180,--,--,--,19591960,N,210,62,50,112
Darrel Anholt,L,D,1962-11-23,Hardisty,AB,CAN,CAN,75,195,1981,3,54,19831984,N,1,0,0,0
Mike Antonovich,L,C,1951-10-18,Calumet,MN,USA,USA,68,165,1971,12,113,19751976,N,87,10,15,25
Shawn Antoski,L,L,1970-03-25,Brantford,ON,CAN,CAN,76,235,1990,1,18,19901991,N,183,3,5,8
Bob Barlow,L,L,1935-06-17,Hamilton,ON,CAN,CAN,70,165,--,--,--,19691970,N,7,0,0,0
Syl Apps Jr.,R,C,1947-08-01,Toronto,ON,CAN,CAN,72,185,1964,4,21,19701971,N,727,183,423,606
Doug Barrie,R,D,1946-10-02,Edmonton,AB,CAN,CAN,69,175,--,--,--,19681969,N,150,9,41,50
Mike Baumgartner,L,D,1949-01-30,Roseau,MN,USA,USA,74,195,1969,5,60,19741975,N,17,0,0,0
Bob Baun,R,D,1936-09-09,Lanigan,SK,CAN,CAN,69,175,--,--,--,19561957,N,148,4,33,37
Norm Beaudin,R,R,1941-11-28,Montmartre,SK,CAN,CAN,68,165,--,--,--,19671968,N,12,0,1,1
Dave Archibald,L,C,1969-04-14,Chilliwack,BC,CAN,CAN,73,211,1987,1,6,19871988,N,323,57,67,124
Jim Archibald,R,R,1961-06-06,Craik,AB,CAN,CAN,71,175,1981,7,139,19841985,N,16,1,2,3
Harvey Bennett,L,C,1952-08-09,Cranston,RI,USA,USA,76,215,--,--,--,19741975,N,268,44,46,90
Ron Areshenkoff,L,C,1957-06-13,Grand Forks,BC,CAN,CAN,72,175,1977,2,32,19791980,N,4,0,0,0
Bill Armstrong,L,L,1966-06-25,London,ON,CAN,CAN,74,195,--,--,--,19901991,N,1,0,1,1
Red Berenson,L,C,1939-12-08,Regina,SK,CAN,CAN,72,185,--,--,--,19611962,N,604,155,253,408
Yves Bergeron,R,R,1952-01-11,Malartic,QC,CAN,CAN,69,165,1972,8,120,19741975,N,3,0,0,0
Gary Bergman,L,D,1938-10-07,Kenora,ON,CAN,CAN,71,188,--,--,--,19641965,N,430,30,171,201
Bob Berry,L,L,1943-11-29,Montréal,QC,CAN,CAN,72,185,--,--,--,19681969,N,539,159,191,350
Fred Berry,L,C,1956-03-26,Edmonton,AB,CAN,CAN,69,175,1976,3,40,19761977,N,3,0,0,0
Dwight Bialowas,R,D,1952-09-08,Regina,SK,CAN,CAN,72,185,1972,2,18,19731974,N,164,11,46,57
Larry Bignell,L,D,1950-01-07,Edmonton,AB,CAN,CAN,72,175,1970,3,35,19731974,N,20,0,3,3
Bob Blackburn,L,D,1938-02-01,Rouyn,QC,CAN,CAN,71,198,--,--,--,19681969,N,64,4,5,9
Don Blackburn,L,L,1938-05-14,Kirkland Lake,ON,CAN,CAN,72,190,--,--,--,19621963,N,61,7,10,17
Tim Armstrong,R,C,1967-05-12,Toronto,ON,CAN,CAN,71,170,1985,11,211,19881989,N,11,1,0,1
Scott Arniel,L,L,1962-09-17,Cornwall,ON,CAN,CAN,73,188,1981,2,22,19811982,N,730,149,189,338
Chuck Arnason,R,R,1951-07-15,Dauphin,MB,CAN,CAN,70,183,1971,1,7,19711972,N,401,109,90,199
Fred Arthur,L,D,1961-03-06,Toronto,ON,CAN,CAN,77,210,1980,1,8,19801981,N,80,1,8,9
Ken Block,L,D,1944-03-18,Steinbach,MB,CAN,CAN,70,191,--,--,--,19701971,N,1,0,0,0
Mike Bloom,L,L,1952-04-12,Ottawa,ON,CAN,CAN,75,206,1972,1,16,19741975,N,201,30,47,77
Don Ashby,L,C,1955-03-08,Kamloops,BC,CAN,CAN,73,185,1975,1,6,19751976,N,188,40,56,96
Gregg Boddy,L,D,1949-03-19,Ponoka,AB,CAN,CAN,74,200,1969,3,27,19711972,N,273,23,44,67
Mike Boland,R,R,1949-12-16,Montréal,QC,CAN,CAN,70,183,--,--,--,19741975,N,2,0,0,0
Larry Bolonchuk,L,D,1952-02-26,Winnipeg,MB,CAN,CAN,70,190,1972,5,67,19721973,N,74,3,9,12
Brent Ashton,L,L,1960-05-18,Saskatoon,SK,CAN,CAN,73,210,1979,2,26,19791980,N,998,284,345,629
Christian Bordeleau,L,C,1947-09-23,Noranda,QC,CAN,CAN,68,172,--,--,--,19681969,N,144,35,49,84
Cam Botting,R,R,1954-03-10,Kingston,ON,CAN,CAN,74,205,1974,4,64,19751976,N,2,0,1,1
Henry Boucha,R,C,1951-06-01,Warroad,MN,USA,USA,72,185,1971,2,16,19711972,N,247,53,49,102
Andre Boudrias,L,L,1943-09-19,Montréal,QC,CAN,CAN,68,165,--,--,--,19631964,N,458,121,267,388
Barry Boughner,L,L,1948-01-29,Delhi,ON,CAN,CAN,70,180,--,--,--,19691970,N,16,0,0,0
Kirk Bowman,L,L,1952-09-30,Leamington,ON,CAN,CAN,69,178,--,--,--,19761977,N,88,11,17,28
Wally Boyer,L,C,1937-09-27,Cowan,MB,CAN,CAN,68,165,--,--,--,19651966,N,69,11,31,42
Lyle Bradley,R,C,1943-07-31,Lloydminster,SK,CAN,CAN,69,160,--,--,--,19731974,N,6,1,0,1
Bob Attwell,R,R,1959-12-26,Spokane,WA,USA,USA,72,192,1979,6,106,19791980,N,22,1,5,6
