Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Doug Brindley,L,L,1949-06-08,Walkerton,ON,CAN,CAN,73,175,1969,2,20,19701971,N,3,0,0,0
Norm Aubin,L,C,1960-07-26,St. Leonard,QC,CAN,CAN,72,185,1979,3,51,19811982,N,69,18,13,31
Pierre Aubry,L,C,1960-04-15,Cap-de-la-Madeleine,QC,CAN,CAN,70,170,--,--,--,19801981,N,201,24,26,50
Les Auge,L,D,1953-05-16,St. Paul,MN,USA,USA,73,190,--,--,--,19801981,N,6,0,3,3
Donald Audette,R,R,1969-09-23,Laval,QC,CAN,CAN,68,191,1989,9,183,19901991,N,735,260,249,509
Willie Brossart,L,D,1949-05-29,Allan,SK,CAN,CAN,72,190,1969,3,28,19701971,N,129,1,14,15
Arnie Brown,L,D,1942-01-28,Oshawa,ON,CAN,CAN,73,185,--,--,--,19611962,N,263,14,55,69
Jergus Baca,L,D,1965-04-01,Kosice,--,CZE,SVK,74,211,1990,7,141,19901991,N,10,0,2,2
Warren Babe,L,L,1968-09-07,Medicine Hat,AB,CAN,CAN,74,190,1986,1,12,19871988,N,21,2,5,7
Bob Babcock,L,D,1968-08-03,Agincourt,ON,CAN,CAN,73,222,1986,10,208,19901991,N,2,0,0,0
Jamie Baker,L,C,1966-08-31,Ottawa,ON,CAN,CAN,72,195,--,--,--,19901991,N,403,71,79,150
Jamie Baker,L,D,1968-03-22,Toronto,ON,CAN,CAN,--,--,--,--,--,19891990,N,1,0,0,0
John Baby,R,D,1957-05-18,Sudbury,ON,CAN,CAN,72,195,1977,4,59,19771978,N,26,2,8,10
Wayne Babych,R,R,1958-06-06,Edmonton,AB,CAN,CAN,71,191,1978,1,3,19781979,N,519,192,246,438
Dave Babych,L,D,1961-05-23,Edmonton,AB,CAN,CAN,73,225,1980,1,2,19801981,N,"1,195",142,581,723
Mike Backman,R,R,1955-01-02,Halifax,NS,CAN,CAN,70,175,--,--,--,19811982,N,18,1,6,7
Reid Bailey,L,D,1956-05-28,Toronto,ON,CAN,CAN,74,200,--,--,--,19801981,N,40,1,3,4
Bill Baker,L,D,1956-11-29,Grand Rapids,MI,USA,USA,73,195,1976,3,54,19801981,N,143,7,25,32
Joel Baillargeon,L,L,1964-10-06,Charlesbourg,QC,CAN,CAN,73,205,1983,6,109,19861987,N,20,0,2,2
Jeff Bandura,R,D,1957-02-04,White Rock,BC,CAN,CAN,73,195,1977,2,22,19801981,N,2,0,1,1
Peter Bakovic,R,R,1965-01-31,Thunder Bay,ON,CAN,CAN,74,200,--,--,--,19871988,N,10,2,0,2
Doug Buhr,L,L,1949-06-29,Vancouver,BC,CAN,CAN,75,215,--,--,--,19741975,N,6,0,2,2
Helmut Balderis,R,R,1952-07-31,Riga,--,LVA,LVA,71,190,1989,12,238,19891990,N,26,3,6,9
Bryon Baltimore,R,D,1952-08-26,Whitehorse,YT,CAN,CAN,74,190,--,--,--,19791980,N,2,0,0,0
Don Barber,L,L,1964-12-02,Victoria,BC,CAN,CAN,74,205,1983,6,120,19881989,N,115,25,32,57
Ralph Barahona,L,C,1965-11-16,Long Beach,CA,USA,USA,70,180,--,--,--,19901991,N,6,2,2,4
Glen Burdon,L,C,1954-08-04,Regina,SK,CAN,CAN,74,178,1974,2,20,19741975,N,11,0,2,2
Murray Baron,L,D,1967-06-01,Prince George,BC,CAN,CAN,75,236,1986,8,167,19891990,N,988,35,94,129
Normand Baron,L,L,1957-12-15,Verdun,QC,CAN,CAN,72,205,--,--,--,19831984,N,27,2,0,2
Blair Barnes,R,R,1960-09-21,Windsor,ON,CAN,CAN,71,190,1979,6,126,19821983,N,1,0,0,0
Norm Barnes,L,D,1953-08-24,Toronto,ON,CAN,CAN,72,190,1973,8,122,19761977,N,156,6,38,44
Dave Barr,R,R,1960-11-30,Toronto,ON,CAN,CAN,73,195,--,--,--,19811982,N,614,128,204,332
Fred Barrett,L,D,1950-01-26,Ottawa,ON,CAN,CAN,71,195,1970,2,20,19701971,N,745,25,123,148
John Barrett,L,D,1958-07-01,Ottawa,ON,CAN,CAN,73,210,1978,8,129,19801981,N,488,20,77,97
Robin Bartel,L,D,1961-05-16,Drake,SK,CAN,CAN,72,200,--,--,--,19851986,N,41,0,1,1
Bob Bassen,L,L,1965-05-06,Calgary,AB,CAN,CAN,70,190,--,--,--,19851986,N,765,88,144,232
Len Barrie,L,C,1969-06-04,Kimberley,BC,CAN,CAN,72,200,1988,6,124,19891990,N,184,19,45,64
Charlie Burns,L,C,1936-02-14,Detroit,MI,USA,USA,71,170,--,--,--,19581959,N,218,24,40,64
Robin Burns,L,L,1946-08-27,Montréal,QC,CAN,CAN,72,195,--,--,--,19701971,N,190,31,38,69
Frank Bathe,L,D,1954-09-27,Oshawa,ON,CAN,CAN,73,185,--,--,--,19741975,N,224,3,28,31
Mike Byers,R,R,1946-09-11,Toronto,ON,CAN,CAN,70,185,--,--,--,19671968,N,146,40,30,70
Terry Caffery,R,C,1949-04-01,Toronto,ON,CAN,CAN,69,165,1966,1,3,19691970,N,8,0,0,0
Larry Cahan,R,D,1933-12-25,Fort William,ON,CAN,CAN,74,222,--,--,--,19541955,N,67,3,11,14
Don Cairns,L,L,1955-10-08,Calgary,AB,CAN,CAN,73,195,1975,2,20,19751976,N,9,0,1,1
Craig Cameron,R,R,1945-07-19,Edmonton,AB,CAN,CAN,72,200,--,--,--,19661967,N,447,69,58,127
Bryan Campbell,L,C,1944-03-27,Sudbury,ON,CAN,CAN,72,173,--,--,--,19671968,N,153,22,50,72
Ken Baumgartner,L,L,1966-03-11,Flin Flon,MB,CAN,CAN,73,205,1985,12,245,19871988,N,696,13,41,54
Steve Cardwell,L,L,1950-08-13,Toronto,ON,CAN,CAN,71,190,1970,5,63,19701971,N,53,9,11,20
Wayne Carleton,L,L,1946-08-04,Sudbury,ON,CAN,CAN,75,212,--,--,--,19651966,N,145,39,38,77
Brian Carlin,L,L,1950-06-13,Calgary,AB,CAN,CAN,70,175,1970,7,86,19711972,N,5,1,0,1
Gene Carr,L,C,1951-09-17,Nanaimo,BC,CAN,CAN,71,185,1971,1,4,19711972,N,465,79,136,215
Robin Bawa,R,C,1966-06-23,Duncan,BC,CAN,CAN,74,214,--,--,--,19891990,N,61,6,1,7
Paul Baxter,R,D,1955-10-25,Winnipeg,MB,CAN,CAN,71,200,1975,3,49,19791980,N,472,48,121,169
Tom Cassidy,L,C,1952-03-15,Blind River,ON,CAN,CAN,71,180,1972,2,22,19771978,N,26,3,4,7
Sandy Beadle,L,L,1960-07-12,Regina,SK,CAN,CAN,74,185,1980,8,149,19801981,N,6,1,0,1
Frank Beaton,L,L,1953-04-28,Antigonish,NS,CAN,CAN,70,200,--,--,--,19781979,N,25,1,1,2
Rick Chinnick,L,R,1953-08-15,Chatham,ON,CAN,CAN,71,180,1973,3,41,19731974,N,4,0,2,2
Serge Beaudoin,L,D,1952-11-30,Montréal,QC,CAN,CAN,74,215,1972,7,103,19791980,N,3,0,0,0
Yves Beaudoin,R,D,1965-01-07,Pointe-aux-Trembles,QC,CAN,CAN,71,180,1983,10,195,19851986,N,11,0,0,0
Rick Bennett,L,L,1967-07-24,Springfield,MA,USA,USA,76,215,1986,3,54,19891990,N,15,1,1,2
Bob Beers,R,D,1967-05-20,Pittsburgh,PA,USA,USA,75,208,1985,10,210,19891990,N,258,28,79,107
Eddy Beers,L,L,1959-10-12,Zwaag,--,NLD,NLD,74,195,--,--,--,19811982,N,250,94,116,210
Barry Beck,L,D,1957-06-03,Vancouver,BC,CAN,CAN,75,216,1977,1,2,19771978,N,615,104,251,355
John Bednarski,L,D,1952-07-04,Thunder Bay,ON,CAN,CAN,70,195,--,--,--,19741975,N,100,2,18,20
Curt Bennett,L,R,1948-03-27,Regina,SK,CAN,CAN,75,195,1968,2,16,19701971,N,580,152,182,334
Alain Belanger,R,R,1956-01-18,St. Janvier,QC,CAN,CAN,73,190,1976,3,48,19771978,N,9,0,1,1
Roger Belanger,R,C,1965-12-01,St. Catharines,ON,CAN,CAN,72,190,1984,1,16,19841985,N,44,3,5,8
Drake Berehowsky,R,D,1972-01-03,Toronto,ON,CAN,CAN,74,217,1990,1,10,19901991,N,549,37,112,149
Bill Bennett,L,L,1953-05-31,Warwick,RI,USA,USA,77,235,--,--,--,19781979,N,31,4,7,11
Neil Belland,L,D,1961-04-03,Parry Sound,ON,CAN,CAN,71,180,--,--,--,19811982,N,109,13,32,45
Jim Benning,L,D,1963-04-29,Edmonton,AB,CAN,CAN,72,180,1981,1,6,19811982,N,605,52,191,243
Brian Bellows,R,L,1964-09-01,St. Catharines,ON,CAN,CAN,71,210,1982,1,2,19821983,N,"1,188",485,537,"1,022"
Bruce Bell,L,D,1965-02-15,Toronto,ON,CAN,CAN,73,190,1983,3,52,19841985,N,209,12,64,76
Brian Benning,L,D,1966-06-10,Edmonton,AB,CAN,CAN,72,195,1984,2,26,19841985,N,568,63,233,296
Todd Bergen,L,C,1963-07-11,Prince Albert,SK,CAN,CAN,75,185,1982,5,98,19841985,N,14,11,5,16
Benoit Hogue,L,L,1966-10-28,Repentigny,QC,CAN,CAN,70,194,1985,2,35,19871988,N,863,222,321,543
Bill Berg,L,L,1967-10-21,St. Catharines,ON,CAN,CAN,73,205,1986,3,59,19881989,N,546,55,67,122
Paul Beraldo,R,C,1967-10-05,Hamilton,ON,CAN,ITA,71,175,1986,7,139,19871988,N,10,0,0,0
Perry Berezan,R,C,1964-12-05,Edmonton,AB,CAN,CAN,74,190,1983,3,55,19841985,N,378,61,75,136
Marc Bergevin,L,D,1965-08-11,Montréal,QC,CAN,CAN,73,214,1983,3,59,19841985,N,"1,191",36,145,181
Michel Bergeron,R,R,1954-11-11,Chicoutimi,QC,CAN,CAN,70,170,1974,4,63,19741975,N,229,80,58,138
Bob Bergloff,R,D,1958-07-26,Dickinson,ND,USA,USA,73,185,1978,6,87,19821983,N,2,0,0,0
Bo Berglund,L,L,1955-04-06,Sjalevad,--,SWE,SWE,70,175,1983,12,232,19831984,N,130,28,39,67
Mike Berger,R,D,1967-06-02,Edmonton,AB,CAN,CAN,72,195,1985,4,69,19871988,N,30,3,1,4
Jonas Bergqvist,L,R,1962-09-26,Hassleholm,--,SWE,SWE,72,185,1988,6,126,19891990,N,22,2,5,7
Tim Bergland,R,R,1965-01-11,Crookston,MN,USA,USA,75,194,1983,4,75,19891990,N,182,17,26,43
Craig Berube,L,L,1965-12-17,Calahoo,AB,CAN,CAN,73,205,--,--,--,19861987,N,"1,054",61,98,159
Brad Berry,L,D,1965-04-01,Bashaw,AB,CAN,CAN,74,190,1983,2,29,19851986,N,241,4,28,32
Thommie Bergman,L,D,1947-12-10,Munkfors,--,SWE,SWE,74,200,--,--,--,19721973,N,246,21,44,65
Serge Bernier,R,C,1947-04-29,Padoue,QC,CAN,CAN,73,190,1967,1,5,19681969,N,300,78,118,196
Doug Berry,L,C,1957-06-03,New Westminster,BC,CAN,CAN,73,190,1977,3,38,19791980,N,121,10,33,43
John Bethel,L,L,1957-01-15,Montréal,QC,CAN,CAN,71,185,1977,6,98,19791980,N,17,0,2,2
Ken Berry,L,L,1960-06-21,Burnaby,BC,CAN,CAN,69,175,1980,6,112,19811982,N,55,8,10,18
Nick Beverley,R,D,1947-04-21,Toronto,ON,CAN,CAN,74,185,--,--,--,19661967,N,498,18,94,112
Wayne Bianchin,L,R,1953-09-06,Nanaimo,BC,CAN,CAN,70,180,1973,2,23,19731974,N,276,68,41,109
Jeff Beukeboom,R,D,1965-03-28,Ajax,ON,CAN,CAN,77,230,1983,1,19,19861987,N,804,30,129,159
Don Biggs,R,C,1965-07-04,Mississauga,ON,CAN,CAN,68,185,1983,8,156,19841985,N,12,2,0,2
Terry Clancy,L,R,1943-04-02,Ottawa,ON,CAN,CAN,71,195,--,--,--,19671968,N,32,0,1,1
Todd Bidner,L,L,1961-07-05,Petrolia,ON,CAN,GBR,74,205,1980,6,110,19811982,N,12,2,1,3
Gilles Bilodeau,L,L,1955-07-31,St. Prime,QC,CAN,CAN,73,220,--,--,--,19791980,N,9,0,1,1
Tom Bissett,L,L,1966-03-13,Seattle,WA,USA,USA,72,180,1986,11,211,19901991,N,5,0,0,0
Scott Bjugstad,L,L,1961-06-02,St. Paul,MN,USA,USA,73,185,1981,9,181,19831984,N,317,76,68,144
James Black,L,L,1969-08-15,Regina,SK,CAN,CAN,71,210,1989,5,94,19891990,N,352,58,57,115
Gary Coalter,R,R,1950-07-08,Toronto,ON,CAN,CAN,70,185,1970,5,67,19731974,N,34,2,4,6
Bill Collins,R,R,1943-07-13,Ottawa,ON,CAN,CAN,73,178,--,--,--,19671968,N,548,110,124,234
Bob Collyard,L,C,1949-10-16,Hibbing,MN,USA,USA,69,170,1969,7,73,19731974,N,10,1,3,4
Brian Conacher,L,L,1941-08-31,Toronto,ON,CAN,CAN,75,197,--,--,--,19611962,N,22,3,1,4
Tom Bladon,R,D,1952-12-29,Edmonton,AB,CAN,CAN,73,195,1972,2,23,19721973,N,610,73,197,270
Wayne Connelly,R,C,1939-12-16,Rouyn,QC,CAN,CAN,70,170,--,--,--,19601961,N,147,32,54,86
Bob Cook,R,R,1946-01-06,Sudbury,ON,CAN,CAN,72,190,--,--,--,19701971,N,72,13,9,22
Mike Blaisdell,R,R,1960-01-18,Moose Jaw,SK,CAN,CAN,73,196,1980,1,11,19801981,N,343,70,84,154
Jeff Bloemberg,R,D,1968-01-31,Listowel,ON,CAN,CAN,74,205,1986,5,93,19881989,N,43,3,6,9
Timo Blomqvist,R,D,1961-01-23,Helsinki,--,FIN,FIN,72,200,1980,5,89,19811982,N,243,4,53,57
Rick Blight,R,R,1955-10-17,Portage la Prairie,MB,CAN,CAN,74,195,1975,1,10,19751976,N,326,96,125,221
John Blum,R,D,1959-10-08,Detroit,MI,USA,USA,75,205,--,--,--,19821983,N,250,7,34,41
Bob Bodak,L,L,1961-05-28,Thunder Bay,ON,CAN,CAN,74,200,--,--,--,19871988,N,4,0,0,0
Doug Bodger,L,D,1966-06-18,Chemainus,BC,CAN,CAN,74,210,1984,1,9,19841985,N,"1,071",106,422,528
Peter Bondra,L,R,1968-02-07,Luck,--,UKR,SVK,73,200,1990,8,156,19901991,N,"1,081",503,389,892
Rick Boh,R,C,1964-05-18,Kamloops,BC,CAN,CAN,70,185,--,--,--,19871988,N,8,2,1,3
Serge Boisvert,R,R,1959-06-01,Drummondville,QC,CAN,CAN,69,172,--,--,--,19821983,N,46,5,7,12
Michel Bolduc,L,D,1961-03-13,Ange-Gardien,QC,CAN,CAN,74,190,1980,8,150,19811982,N,10,0,0,0
Fred Boimistruck,R,D,1962-01-14,Sudbury,ON,CAN,CAN,71,190,1980,3,43,19811982,N,83,4,14,18
Mike Boland,R,D,1954-10-29,London,ON,CAN,CAN,72,190,1974,7,110,19741975,N,23,1,2,3
Ivan Boldirev,L,C,1949-08-15,Zrenjanin,--,SRB,SRB,72,190,1969,1,11,19701971,N,"1,052",361,505,866
Jim Boo,R,D,1954-12-11,Rolla,MO,USA,USA,73,200,--,--,--,19771978,N,6,0,0,0
Dan Bolduc,L,R,1953-04-06,Waterville,ME,USA,USA,69,180,--,--,--,19781979,N,102,22,19,41
J.P. Bordeleau,R,R,1949-06-13,Noranda,QC,CAN,CAN,73,175,1969,1,13,19711972,N,519,97,126,223
Paulin Bordeleau,R,R,1953-01-29,Noranda,QC,CAN,FRA,69,162,1973,2,19,19731974,N,183,33,56,89
Dan Bonar,R,C,1956-09-23,Brandon,MB,CAN,CAN,69,175,--,--,--,19801981,N,170,25,39,64
Laurie Boschman,L,C,1960-06-04,Major,SK,CAN,CAN,72,185,1979,1,9,19791980,N,"1,009",229,348,577
Tim Bothwell,L,D,1955-05-06,Vancouver,BC,CAN,CAN,75,190,--,--,--,19781979,N,501,28,93,121
Jack Borotsik,L,L,1949-11-26,Brandon,MB,CAN,CAN,69,180,--,--,--,19741975,N,1,0,0,0
Pierre Bouchard,L,D,1948-02-20,Longueuil,QC,CAN,CAN,74,205,1965,1,5,19701971,N,595,24,82,106
Bruce Boudreau,L,C,1955-01-09,Toronto,ON,CAN,CAN,69,170,1975,3,42,19761977,N,141,28,42,70
Mike Corrigan,L,L,1946-01-11,Ottawa,ON,CAN,CAN,70,175,--,--,--,19671968,N,553,146,191,337
Rick Bourbonnais,R,R,1955-04-20,Toronto,ON,CAN,CAN,72,186,1975,4,63,19751976,N,71,9,15,24
Bob Bourne,L,C,1954-06-21,Kindersley,SK,CAN,CAN,75,200,1974,3,38,19741975,N,964,258,324,582
Pat Boutette,L,L,1952-03-01,Windsor,ON,CAN,CAN,68,175,1972,9,139,19751976,N,756,171,282,453
Charlie Bourgeois,R,D,1959-11-19,Moncton,NB,CAN,CAN,76,220,--,--,--,19811982,N,290,16,54,70
Paul Boutilier,L,D,1963-05-03,Sydney,NS,CAN,CAN,72,200,1981,1,21,19811982,N,288,27,83,110
Mark Botell,L,D,1961-08-27,Scarborough,ON,CAN,CAN,76,220,1980,8,168,19811982,N,32,4,10,14
Dan Bourbonnais,L,L,1962-03-06,Winnipeg,MB,CAN,CAN,70,185,1981,5,103,19811982,N,59,3,25,28
Phil Bourque,L,L,1962-06-08,Chelmsford,MA,USA,USA,73,196,--,--,--,19831984,N,477,88,111,199
Rick Bowness,R,R,1955-01-25,Moncton,NB,CAN,CAN,73,185,1975,2,26,19751976,N,173,18,37,55
Randy Boyd,L,D,1962-01-23,Coniston,ON,CAN,CAN,71,200,1980,3,51,19811982,N,257,20,67,87
Darren Boyko,R,C,1964-01-16,Winnipeg,MB,CAN,CAN,69,169,--,--,--,19881989,N,1,0,0,0
Greg Brown,R,D,1968-03-07,Hartford,CT,USA,USA,72,185,1986,2,26,19901991,N,94,4,14,18
Neil Brady,L,C,1968-04-12,Montréal,QC,CAN,CAN,74,200,1986,1,3,19891990,N,89,9,22,31
Philippe Bozon,L,L,1966-11-30,Chamonix,--,FRA,FRA,70,185,--,--,--,19911992,N,144,16,25,41
Steve Bozek,L,L,1960-11-26,Kelowna,BC,CAN,CAN,71,180,1980,3,52,19811982,N,641,164,167,331
Curt Brackenbury,R,R,1952-01-31,Kapuskasing,ON,CAN,CAN,70,200,--,--,--,19791980,N,141,9,17,26
Rick Bragnalo,L,C,1951-12-01,Fort William,ON,CAN,CAN,68,160,--,--,--,19751976,N,145,15,35,50
Brian Bradley,R,C,1965-01-21,Kitchener,ON,CAN,CAN,70,180,1983,3,51,19851986,N,651,182,321,503
Ken Breitenbach,L,D,1955-01-09,Welland,ON,CAN,CAN,71,190,1975,2,35,19751976,N,68,1,13,14
Per-Olov Brasar,L,C,1950-09-30,Falun,--,SWE,SWE,68,172,--,--,--,19771978,N,348,64,142,206
Dan Brennan,L,L,1962-10-01,Dawson Creek,BC,CAN,CAN,75,210,1981,8,165,19831984,N,8,0,1,1
Greg Britz,L,L,1961-03-01,Marblehead,MA,USA,USA,72,190,--,--,--,19831984,N,8,0,0,0
Andy Brickley,L,L,1961-08-09,Melrose,MA,USA,USA,71,200,1980,10,210,19821983,N,385,82,140,222
Mel Bridgman,L,C,1955-04-28,Trenton,ON,CAN,CAN,72,190,1975,1,1,19751976,N,977,252,449,701
Rob Brown,L,R,1968-04-10,Kingston,ON,CAN,CAN,71,185,1986,4,67,19871988,N,543,190,248,438
Bob Brooke,R,R,1960-12-18,Melrose,MA,USA,USA,71,195,1980,4,75,19831984,N,447,69,97,166
Stephane Brochu,L,D,1967-08-15,Sherbrooke,QC,CAN,CAN,72,185,1985,9,175,19881989,N,1,0,0,0
Carl Brewer,L,D,1938-10-21,Toronto,ON,CAN,CAN,69,180,--,--,--,19571958,N,81,4,30,34
Jeff Brown,R,D,1966-04-30,Ottawa,ON,CAN,CAN,74,204,1984,2,36,19851986,N,747,154,430,584
Gord Brooks,R,R,1950-09-11,Cobourg,ON,CAN,CAN,68,168,1970,4,51,19711972,N,70,7,18,25
Larry Brown,L,D,1947-04-14,Brandon,MB,CAN,CAN,74,210,--,--,--,19691970,N,440,7,50,57
Jim Brown,R,D,1960-03-01,Phoenix,AZ,USA,USA,76,210,1979,5,92,19821983,N,3,0,1,1
Dave Brown,R,R,1962-10-12,Saskatoon,SK,CAN,CAN,77,220,1982,7,140,19821983,N,729,45,52,97
Keith Brown,R,D,1960-05-06,Corner Brook,NL,CAN,CAN,73,192,1979,1,7,19791980,N,876,68,274,342
Jeff Brownschidle,R,D,1959-03-01,Buffalo,NY,USA,USA,74,200,--,--,--,19811982,N,7,0,1,1
Jack Brownschidle,L,D,1955-10-02,Buffalo,NY,USA,USA,74,195,1975,6,99,19771978,N,494,39,162,201
Murray Brumwell,L,D,1960-03-31,Calgary,AB,CAN,CAN,74,190,--,--,--,19801981,N,128,12,31,43
Jeff Brubaker,L,L,1958-02-24,Frederick,MD,USA,USA,74,207,1978,6,102,19791980,N,178,16,9,25
Neal Broten,L,C,1959-11-29,Roseau,MN,USA,USA,70,175,1979,3,42,19801981,N,"1,099",289,634,923
Aaron Broten,L,C,1960-11-14,Roseau,MN,USA,USA,70,180,1980,6,106,19801981,N,748,186,329,515
Jiri Bubla,L,D,1950-01-27,Ústí nad Labem,--,CZE,CZE,71,200,--,--,--,19811982,N,256,17,101,118
David Bruce,R,R,1964-10-07,Thunder Bay,ON,CAN,CAN,71,190,1983,2,30,19851986,N,234,48,39,87
Paul Brydges,R,C,1965-06-21,Guelph,ON,CAN,CAN,71,180,--,--,--,19861987,N,15,2,2,4
Doug Brown,R,R,1964-06-12,Southborough,MA,USA,USA,71,185,--,--,--,19861987,N,854,160,214,374
Kelly Buchberger,L,R,1966-12-02,Langenburg,SK,CAN,CAN,74,200,1985,9,188,19871988,N,"1,182",105,204,309
Benoit Brunet,L,L,1968-08-24,Ste-Anne-de-Bellevue,QC,CAN,CAN,70,203,1986,2,27,19881989,N,539,101,161,262
Rod Brind'Amour,L,C,1970-08-09,Ottawa,ON,CAN,CAN,73,205,1988,1,9,19891990,N,"1,484",452,732,"1,184"
Paul Broten,R,R,1965-10-27,Roseau,MN,USA,USA,71,190,1984,4,77,19891990,N,322,46,55,101
Francis Breault,L,R,1967-05-11,Acton Vale,QC,CAN,CAN,71,185,--,--,--,19901991,N,27,2,4,6
Patrice Brisebois,R,D,1971-01-27,Montréal,QC,CAN,CAN,74,197,1989,2,30,19901991,N,"1,009",98,322,420
Bruce Cowick,L,L,1951-08-18,Victoria,BC,CAN,CAN,73,200,--,--,--,19741975,N,70,5,6,11
Randy Bucyk,L,C,1962-11-09,Edmonton,AB,CAN,CAN,71,185,--,--,--,19851986,N,19,4,2,6
Richard Brown,L,L,1969-05-15,Prince Albert,SK,CAN,CAN,73,210,--,--,--,19901991,N,1,0,0,0
Bart Crashley,R,D,1946-06-15,Toronto,ON,CAN,CAN,72,180,--,--,--,19651966,N,79,5,22,27
Mike Bullard,L,C,1961-03-10,Ottawa,ON,CAN,CAN,72,195,1980,1,9,19801981,N,727,329,345,674
Ted Bulley,L,L,1955-03-25,Windsor,ON,CAN,CAN,73,192,1975,7,115,19761977,N,414,101,113,214
Marc Bureau,R,C,1966-05-19,Trois-Rivières,QC,CAN,CAN,73,203,--,--,--,19891990,N,567,55,83,138
Adam Burt,L,D,1969-01-15,Detroit,MI,USA,USA,74,210,1987,2,39,19881989,N,737,37,115,152
Gary Burns,L,L,1955-01-16,Cambridge,MA,USA,USA,73,190,1975,12,191,19801981,N,11,2,2,4
Shawn Burr,L,L,1966-07-01,Sarnia,ON,CAN,CAN,73,205,1984,1,7,19841985,N,878,181,259,440
Randy Burridge,L,L,1966-01-07,Fort Erie,ON,CAN,CAN,69,188,1985,8,157,19851986,N,706,199,251,450
Dave Burrows,L,D,1949-01-11,Toronto,ON,CAN,CAN,73,190,--,--,--,19711972,N,724,29,135,164
Nelson Burton,L,L,1957-11-06,Sydney,NS,CAN,CAN,72,205,1977,4,57,19771978,N,8,1,0,1
Rod Buskas,R,D,1961-01-07,Wetaskiwin,AB,CAN,CAN,73,206,1981,6,112,19821983,N,556,19,63,82
Mike Busniuk,R,D,1951-12-13,Thunder Bay,ON,CAN,CAN,75,200,1971,5,67,19791980,N,143,3,23,26
Ron Busniuk,R,R,1948-08-13,Fort William,ON,CAN,CAN,71,180,--,--,--,19721973,N,6,0,3,3
Garth Butcher,R,D,1963-01-08,Regina,SK,CAN,CAN,72,205,1981,1,10,19811982,N,897,48,158,206
